time(s) 	 Pos(mm) 	 Speed(mm/s) 	 u 	 Err
0.006997 	 0.000000 	 0.707607 	 0.000707 	 0.001414
0.011997 	 0.002500 	 0.708359 	 0.001769 	 0.001038
0.015998 	 0.005000 	 0.709112 	 0.002832 	 0.000664
0.021001 	 0.007500 	 0.709867 	 0.003896 	 0.000292
0.024998 	 0.010000 	 0.710624 	 0.004961 	 -0.000078
0.028999 	 0.012500 	 0.711129 	 0.005672 	 -0.001156
0.032997 	 0.015000 	 0.711888 	 0.006739 	 -0.001522
0.036995 	 0.017500 	 0.712141 	 0.007095 	 -0.003310
0.040998 	 0.020000 	 0.712903 	 0.008164 	 -0.003673
0.045034 	 0.022500 	 0.713157 	 0.008520 	 -0.005460
0.048994 	 0.025000 	 0.713666 	 0.009233 	 -0.006533
0.053995 	 0.027500 	 0.714685 	 0.010661 	 -0.006177
0.058993 	 0.030000 	 0.714941 	 0.011019 	 -0.007963
0.062995 	 0.032500 	 0.715452 	 0.011734 	 -0.009032
0.066994 	 0.035000 	 0.715708 	 0.012091 	 -0.010817
0.072994 	 0.037500 	 0.716477 	 0.013165 	 -0.011169
0.076993 	 0.040000 	 0.716733 	 0.013524 	 -0.012953
0.081992 	 0.042500 	 0.717247 	 0.014241 	 -0.014019
0.094991 	 0.045000 	 0.717761 	 0.014958 	 -0.015084
0.099991 	 0.047500 	 0.718793 	 0.016394 	 -0.014712
0.106991 	 0.050000 	 0.719309 	 0.017113 	 -0.015774
0.111990 	 0.052500 	 0.720345 	 0.018553 	 -0.015395
0.116991 	 0.055000 	 0.721123 	 0.019633 	 -0.015733
0.126991 	 0.057500 	 0.721643 	 0.020355 	 -0.016791
0.130991 	 0.060000 	 0.722685 	 0.021799 	 -0.016403
0.134990 	 0.062500 	 0.723468 	 0.022883 	 -0.016734
0.139990 	 0.065000 	 0.723730 	 0.023245 	 -0.018510
0.144988 	 0.067500 	 0.724777 	 0.024693 	 -0.018114
0.148988 	 0.070000 	 0.725565 	 0.025781 	 -0.018439
0.152988 	 0.072500 	 0.726091 	 0.026506 	 -0.019487
0.156989 	 0.075000 	 0.726354 	 0.026869 	 -0.021261
0.160988 	 0.077500 	 0.727409 	 0.028323 	 -0.020854
0.164987 	 0.080000 	 0.727937 	 0.029050 	 -0.021899
0.168988 	 0.082500 	 0.728732 	 0.030143 	 -0.022214
0.175987 	 0.085000 	 0.728997 	 0.030507 	 -0.023986
0.179987 	 0.087500 	 0.729793 	 0.031601 	 -0.024298
